# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
527  5  13.967  3.73  122.0  122.0
528  9  7.991  4.481  122.0  122.0
529  5  6.5  1.637  121.9999  121.9999
530  8  9.391  8.085  122.0  122.0
531  6  7.642  3.529  122.0  122.0
532  5  14.379  1.18  122.0001  122.0001
533  8  13.809  0.15  122.0  122.0
534  10  8.293  0.53  122.0  122.0
535  5  3.516  0.194  122.0  122.0
537  8  10.732  4.979  122.0001  122.0001
538  9  11.441  1.186  122.0  122.0
539  8  13.148  8.128  122.0  122.0
541  4  13.198  4.628  122.0  122.0
542  2  12.828  0.157  6.9203  6.9203
543  3  11.588  1.32  38.3527  38.3527
544  3  9.863  0.687  37.267  37.267
546  5  4.18  7.018  122.0  122.0
547  5  7.667  5.017  122.0  122.0
549  5  12.923  4.168  122.0  122.0
550  3  13.553  3.477  8.0426  8.0426
553  10  7.882  1.987  122.0  122.0
556  9  10.791  2.139  122.0  122.0
559  8  10.724  2.477  122.0  122.0001
560  11  6.167  4.699  121.9999  122.0
562  5  13.295  4.853  122.0  122.0
565  5  10.593  8.643  122.0  122.0
566  11  13.736  1.946  122.0001  122.0001
567  5  9.896  3.969  121.9999  121.9999
568  3  13.936  2.653  31.4882  31.4882
570  4  4.04  3.653  122.0  122.0
571  5  12.977  0.221  122.0  122.0
572  14  7.291  2.997  121.9999  121.9999
573  5  9.783  1.554  122.0  122.0001
574  8  3.743  0.466  122.0  122.0
575  8  7.006  5.129  121.9999  121.9999
576  5  7.886  0.184  122.0  122.0
579  8  10.236  3.734  122.0  122.0
581  13  5.347  5.593  122.0  122.0
582  6  13.437  2.438  122.0  122.0
583  8  8.129  4.535  122.0  122.0
585  5  9.494  6.646  122.0  122.0
586  3  14.296  4.738  8.4664  8.4664
587  8  10.061  4.774  122.0001  122.0001
589  5  13.067  0.566  122.0  122.0
590  8  14.721  1.017  122.0  122.0
592  8  10.112  5.269  122.0  122.0
593  8  10.398  4.845  122.0001  122.0001
595  5  7.08  3.636  122.0  122.0
596  8  8.495  1.143  122.0  122.0
597  9  11.642  0.382  122.0  122.0
598  6  6.86  3.453  121.9999  121.9999
599  8  13.213  3.188  122.0  122.0
600  7  11.344  2.07  122.0  122.0
601  5  8.973  3.611  122.0001  122.0001
606  6  10.431  0.594  122.0  122.0
607  7  13.585  3.133  122.0  122.0
608  8  13.847  6.548  122.0  122.0
609  7  13.27  3.115  121.9999  121.9999
610  3  6.041  0.15  28.6864  28.6865
611  8  3.598  9.193  122.0  122.0
612  9  10.855  5.123  122.0001  122.0001
613  3  4.295  8.874  5.9268  5.9268
614  13  13.967  1.277  121.9999  122.0
615  7  3.345  7.658  121.9999  121.9999
616  5  12.729  4.127  122.0  122.0001
617  5  8.599  0.486  122.0  122.0001
618  8  11.934  0.849  122.0  122.0
619  4  13.435  0.162  122.0  122.0
620  6  6.269  2.188  122.0001  122.0001
621  9  10.544  1.641  122.0001  122.0001
623  8  5.186  2.694  122.0  122.0
624  9  7.17  0.751  122.0  122.0
625  5  2.894  6.303  121.9999  121.9999
626  3  11.563  1.036  27.1205  27.1205
629  5  8.592  3.883  121.9999  121.9999
630  7  12.465  1.764  122.0  122.0
631  8  12.483  6.936  122.0001  122.0001
632  8  10.248  7.796  121.9999  121.9999
633  3  7.995  6.136  4.6576  4.6576
634  3  12.466  1.157  27.5801  27.5801
635  8  14.723  8.446  121.9999  121.9999
636  8  3.743  3.545  122.0  122.0
637  8  14.502  2.447  122.0  122.0
638  7  10.487  5.962  122.0  122.0
639  8  14.281  2.172  122.0  122.0
640  8  5.734  2.289  121.9999  121.9999
641  6  12.865  0.15  122.0  122.0
642  9  12.891  7.985  122.0  122.0
644  6  9.06  1.007  29.6093  29.6093
645  5  13.226  1.832  121.9999  121.9999
646  3  13.411  0.2  10.7891  10.7891
647  8  8.106  1.676  122.0  122.0
648  8  13.246  2.183  122.0  122.0
649  5  5.95  5.413  122.0  122.0
650  6  9.345  3.272  122.0  122.0
651  9  11.673  0.885  122.0  122.0
652  6  12.819  6.812  8.1326  8.1326
653  9  9.068  6.463  121.9999  121.9999
654  3  11.667  0.175  16.0016  16.0016
656  7  12.388  4.553  122.0  122.0
657  9  6.594  1.697  122.0  122.0
658  9  13.76  0.723  122.0  122.0
660  8  12.278  8.363  121.9999  121.9999
661  7  6.866  4.399  122.0  122.0
662  5  10.422  0.371  122.0  122.0001
664  13  7.639  3.43  121.9999  121.9999
665  3  14.721  1.275  5.364  5.364
666  5  11.108  2.491  122.0  122.0
667  8  7.123  3.486  122.0  122.0
668  4  4.419  9.008  122.0  122.0
669  3  3.508  7.647  1.7038  1.7038
670  9  14.139  1.88  121.9999  121.9999
672  5  14.697  5.553  122.0  122.0
673  6  12.512  5.376  122.0  122.0
675  5  14.37  0.15  122.0  122.0
678  8  4.741  6.072  122.0  122.0
680  4  7.588  3.031  122.0  122.0
681  11  4.384  5.122  122.0  122.0
682  9  10.432  4.595  122.0  122.0
683  6  4.079  3.806  122.0001  122.0001
685  5  3.576  1.406  121.9999  121.9999
686  8  14.12  4.038  122.0001  122.0001
687  8  14.302  2.174  122.0  122.0
688  3  14.493  1.151  36.7917  36.7917
689  7  9.081  4.414  122.0001  122.0001
690  8  11.407  2.042  122.0  122.0
695  8  7.907  6.493  122.0  122.0
698  7  3.698  7.778  121.9999  121.9999
701  7  12.711  2.267  122.0  122.0
702  10  10.132  8.381  122.0  122.0
703  9  12.985  9.799  122.0001  121.7852
704  11  12.997  3.031  122.0  122.0001
706  8  14.599  1.304  122.0001  122.0001
707  5  11.441  4.08  122.0  122.0
711  5  3.931  1.285  122.0  122.0
712  9  5.572  0.375  122.0  122.0
713  6  3.785  7.16  122.0  122.0
717  8  14.579  3.333  122.0  122.0
720  6  11.619  2.812  122.0001  122.0001
721  7  12.541  5.342  122.0  122.0
722  10  10.534  1.982  122.0001  122.0001
724  9  6.336  3.109  122.0  122.0
725  6  11.062  0.15  40.7886  40.7886
726  9  7.084  1.917  122.0001  122.0001
728  11  10.792  2.833  122.0001  122.0001
729  11  3.702  2.922  122.0  122.0
730  8  10.256  7.821  122.0  122.0
732  8  14.021  6.088  122.0  122.0
734  8  6.103  0.686  122.0  122.0
735  8  8.219  1.225  122.0  122.0
736  9  2.176  1.048  122.0  122.0
737  5  11.303  3.834  121.9999  121.9999
738  8  8.812  4.697  122.0  122.0
739  14  13.952  2.782  121.9999  121.9999
740  8  10.386  1.377  122.0  122.0
741  9  6.135  2.625  122.0  122.0
744  5  8.327  1.601  122.0  122.0
745  11  6.336  1.196  122.0  122.0
746  2  11.651  8.947  3.767  3.767
748  9  9.78  2.018  122.0001  122.0001
750  5  13.242  3.401  122.0  122.0
751  11  10.354  1.124  121.9999  121.9999
752  8  14.788  5.838  112.1884  112.1884
753  2  13.75  0.487  15.752  15.752
754  8  5.496  6.522  122.0  122.0
755  3  10.594  1.905  29.3797  29.3797
757  8  14.79  4.6  122.0  122.0
760  6  13.843  5.38  122.0  122.0
761  6  2.39  0.15  122.0001  122.0001
764  7  13.573  2.055  122.0  122.0
766  5  11.487  2.693  122.0  122.0
767  5  11.951  1.226  122.0  122.0
768  5  6.421  1.465  122.0  122.0
769  9  12.087  0.484  122.0  122.0
770  7  7.956  4.893  122.0  122.0
772  13  9.493  7.13  122.0  122.0
774  9  14.313  5.817  122.0  122.0
776  4  8.893  8.45  122.0  122.0
777  11  7.641  7.396  122.0  122.0
779  8  11.243  0.498  121.9999  121.9999
780  7  12.486  3.075  122.0  122.0
781  4  4.151  4.508  122.0  122.0
782  4  14.432  4.195  122.0  122.0
783  13  4.655  0.72  122.0  122.0
784  5  10.329  3.176  122.0  122.0
785  6  14.565  0.742  35.6971  35.6971
786  6  13.073  0.15  122.0  122.0
787  8  14.711  0.832  121.9999  121.9999
788  5  3.77  5.559  122.0  122.0
791  10  10.627  0.834  122.0  122.0
793  5  13.258  3.176  122.0  122.0
794  8  7.746  1.385  122.0  122.0
795  5  11.76  1.071  122.0  122.0
796  11  5.228  4.573  121.9999  121.9999
797  3  14.45  0.338  10.7268  10.7268
798  6  10.319  0.959  122.0  122.0
799  3  12.065  7.312  29.7068  29.7068
800  8  13.953  4.013  122.0  122.0
802  5  12.898  1.055  122.0  122.0
803  6  12.656  7.635  122.0001  122.0001
804  5  8.126  0.975  122.0  122.0
805  11  7.514  4.214  122.0  122.0
806  5  14.8  0.586  11.9366  10.6412
807  8  13.604  2.163  122.0  122.0
809  14  9.9  1.563  122.0  122.0
810  8  8.171  1.482  122.0  122.0
811  7  12.555  7.694  122.0  122.0
812  5  5.278  3.291  122.0  122.0
813  39  12.219  0.15  10.4325  10.4325
814  10  12.553  0.681  122.0  122.0
815  9  11.37  7.014  122.0  122.0
818  6  7.635  0.15  122.0  122.0001
821  3  9.788  1.093  3.0289  3.0289
823  8  8.091  1.682  122.0  122.0
825  12  10.908  3.146  122.0001  122.0001
826  5  11.664  0.398  122.0  122.0
827  7  13.194  0.772  122.0001  122.0001
828  6  13.285  0.344  121.9999  121.9999
829  8  7.29  0.479  122.0  122.0
830  17  12.066  5.953  122.0001  122.0001
831  9  12.462  6.085  122.0  122.0
832  8  10.457  5.76  122.0  122.0
833  8  7.306  0.169  122.0  122.0
835  19  12.026  0.15  121.9999  121.9999
836  11  1.332  5.947  122.0001  122.0001
837  9  9.059  2.763  122.0  122.0
838  11  8.925  3.652  122.0  122.0
839  11  9.877  1.07  122.0  122.0
840  9  6.974  1.802  122.0001  122.0001
841  9  11.746  5.125  122.0001  122.0001
842  11  3.857  5.896  121.9999  122.0
843  8  10.844  4.643  122.0  122.0
844  4  13.293  5.618  122.0  122.0001
845  10  8.98  2.814  122.0001  122.0001
846  5  4.253  4.641  122.0  122.0
848  8  10.811  4.193  122.0001  122.0001
850  3  5.199  0.528  31.4528  31.4528
851  8  14.592  1.146  122.0  122.0
